pid,vid,sid,mode,fixed_dev_mem,llm_dev_mem,fixed_reg_mem,llm_reg_mem
Compress,15,2,time,1759592.0,1929033.6,63193.6,71564.8
Compress,15,3,time,0.0,0.0,0.0,0.0
Compress,15,4,time,1391913.6,1589553.6,57619.2,40232.0
Compress,15,5,time,0.0,0.0,0.0,0.0
Compress,15,1,mem,2081820.8,847155.2,69678.4,79195.2
Compress,15,2,mem,0.0,0.0,0.0,0.0
Compress,15,3,mem,0.0,0.0,0.0,0.0
Compress,15,4,mem,0.0,0.0,0.0,0.0
Compress,15,5,mem,0.0,0.0,0.0,0.0
Compress,16,1,normal,0.0,0.0,0.0,0.0
Compress,16,2,normal,0.0,0.0,100395.2,107020.8
Compress,16,3,normal,0.0,0.0,0.0,0.0
Compress,16,4,normal,1064576.0,845548.8,67156.8,61260.8
Compress,16,5,normal,0.0,0.0,88240.0,110790.4
Compress,16,1,time,0.0,0.0,0.0,0.0
Compress,16,2,time,0.0,0.0,0.0,0.0
Compress,16,3,time,0.0,0.0,0.0,0.0
Compress,16,4,time,0.0,0.0,0.0,0.0
Compress,16,5,time,0.0,0.0,0.0,0.0
Compress,16,1,mem,0.0,0.0,0.0,0.0
Compress,16,2,mem,0.0,0.0,0.0,0.0
Compress,16,3,mem,0.0,0.0,0.0,0.0
Compress,16,4,mem,0.0,0.0,0.0,0.0
Compress,16,5,mem,0.0,0.0,0.0,0.0
Compress,17,1,normal,1521558.4,1098236.8,55776.0,51932.8
Compress,17,2,normal,694070.4,453457.6,51432.0,52792.0
Compress,17,3,normal,882297.6,600177.6,53971.2,46403.2
Compress,17,4,normal,0.0,0.0,0.0,0.0
Compress,17,5,normal,1285284.8,923660.8,48536.0,48969.6
Compress,17,1,time,0.0,0.0,48278.4,49212.8
Compress,17,2,time,1094758.4,1761950.4,56243.2,48923.2
Compress,17,3,time,1299035.2,997081.6,56881.6,53001.6
Compress,17,4,time,1572212.8,987894.4,52387.2,49664.0
Compress,17,5,time,855243.2,481027.2,51884.8,56224.0
Compress,17,1,mem,0.0,0.0,0.0,0.0
Compress,17,2,mem,642102.4,2220524.8,61156.8,64220.8
Compress,17,3,mem,827006.4,1191764.8,62684.8,64790.4
Compress,17,4,mem,1583179.2,715852.8,62369.6,65012.8
Compress,17,5,mem,0.0,0.0,0.0,0.0
Compress,18,1,normal,1007600.0,635121.6,70969.6,69664.0
Compress,18,2,normal,473430.4,1576204.8,60624.0,72312.0
Compress,18,3,normal,711161.6,1002763.2,59915.2,66283.2
Compress,18,4,normal,914036.8,608891.2,75552.0,74267.2
Compress,18,5,normal,953356.8,702246.4,74275.2,57438.4
Compress,18,1,time,556825.6,1150070.4,69107.2,68740.8
Compress,18,2,time,1934867.2,872337.6,73380.8,71905.6
Compress,18,3,time,575516.8,838011.2,75827.2,76761.6
Compress,18,4,time,0.0,0.0,0.0,0.0
Compress,18,5,time,745113.6,506187.2,62899.2,76379.2
Compress,18,1,mem,0.0,0.0,0.0,0.0
Compress,18,2,mem,0.0,0.0,0.0,0.0
Compress,18,3,mem,690396.8,791257.6,74782.4,73145.6
Compress,18,4,mem,0.0,0.0,0.0,0.0
Compress,18,5,mem,0.0,0.0,0.0,0.0
Compress,19,1,normal,1362086.4,2012108.8,82257.6,88137.6
Compress,19,2,normal,1182596.8,1375387.2,99859.2,87444.8
Compress,19,3,normal,1286432.0,1737740.8,86945.6,101497.6
Compress,19,4,normal,2216516.8,795564.8,88128.0,88860.8
Compress,19,5,normal,6253060.8,766635.2,80235.2,98187.2
Compress,19,1,time,0.0,0.0,0.0,0.0
Compress,19,2,time,0.0,0.0,0.0,0.0
Compress,19,3,time,1042256.0,1258366.4,94323.2,81083.2
Compress,19,4,time,0.0,0.0,0.0,0.0
Compress,19,5,time,3752628.8,1638201.6,87352.0,97028.8
Compress,19,1,mem,2292368.0,462670.4,101408.0,92614.4
Compress,19,2,mem,1038953.6,1938465.6,92369.6,82198.4
Compress,19,3,mem,1201008.0,975579.2,84470.4,90564.8
Compress,19,4,mem,1634348.8,1741904.0,90489.6,99096.0
Compress,19,5,mem,4925374.4,3291948.8,91689.6,92289.6
Compress,1,1,normal,85587.2,76942.4,77715.2,109988.8
Compress,1,2,normal,0.0,0.0,0.0,0.0
Compress,1,3,normal,0.0,0.0,0.0,0.0
Compress,1,4,normal,80041.6,71046.4,48833.6,43571.2
Compress,1,5,normal,65558.4,69220.8,41948.8,47188.8
Compress,1,1,time,75852.8,77953.6,47169.6,44104.0
Compress,1,2,time,73038.4,77681.6,0.0,0.0
Compress,1,3,time,75272.0,74390.4,74347.2,41926.4
Compress,1,4,time,65972.8,71657.6,0.0,0.0
Compress,1,5,time,0.0,0.0,0.0,0.0
Compress,1,1,mem,85419.2,78196.8,71249.6,77484.8
Compress,1,2,mem,59564.8,78257.6,42073.6,72822.4
Compress,1,3,mem,0.0,0.0,0.0,0.0
Compress,1,4,mem,77606.4,85571.2,45747.2,66328.0
Compress,1,5,mem,0.0,0.0,0.0,0.0
Compress,21,1,normal,73692504.0,80649643.2,103920.0,86486.4
Compress,21,2,normal,91073617.6,104382723.2,98803.2,85076.8
Compress,21,3,normal,76955011.2,113610505.6,82436.8,83067.2
Compress,21,4,normal,0.0,0.0,0.0,0.0
Compress,21,5,normal,81288641.6,75525076.8,87764.8,86585.6
Compress,21,1,time,96895425.6,73884673.6,98748.8,95358.4
Compress,21,2,time,80205774.4,98461276.8,95236.8,86467.2
Compress,21,3,time,91920652.8,114763902.4,84956.8,91504.0
Compress,21,4,time,0.0,0.0,0.0,0.0
Compress,21,5,time,88776296.0,71141238.4,84795.2,89358.4
Compress,21,1,mem,80037024.0,101419678.4,89670.4,76390.4
Compress,21,2,mem,78620278.4,80300868.8,93342.4,89440.0
Compress,21,3,mem,0.0,0.0,0.0,0.0
Compress,21,4,mem,78527019.2,90208836.8,95305.6,99798.4
Compress,21,5,mem,0.0,0.0,0.0,0.0
Compress,23,1,normal,95541816.0,66262600.0,1407390.4,1727844.8
Compress,23,2,normal,68682534.4,66192657.6,771915.2,1731323.2
Compress,23,3,normal,62953267.2,81650300.8,1730299.2,1729896.0
Compress,23,4,normal,80924555.2,106927833.6,1736006.4,1733289.6
Compress,23,5,normal,95414475.2,92231531.2,1100126.4,1731036.8
Compress,23,1,time,85511270.4,110824569.6,1730424.0,1086163.2
Compress,23,2,time,79496104.0,148310004.8,1401284.8,1726116.8
Compress,23,3,time,80181323.2,92864742.4,1092492.8,1725928.0
Compress,23,4,time,82895840.0,87872302.4,1731990.4,1730947.2
Compress,23,5,time,91569510.4,65947888.0,1727769.6,1725772.8
Compress,23,1,mem,116354115.2,84289169.6,1730689.6,1416451.2
Compress,23,2,mem,105464499.2,63767172.8,1409566.4,1725243.2
Compress,23,3,mem,131148982.4,47401416.0,1732481.6,1732684.8
Compress,23,4,mem,92172795.2,89671960.0,1731614.4,1732804.8
Compress,23,5,mem,98170067.2,80924771.2,1407766.4,1731816.0
Compress,24,1,normal,84556409.6,103129937.6,291835.2,302700.8
Compress,24,2,normal,85917852.8,94947681.6,289123.2,302737.6
Compress,24,3,normal,92332878.4,76548633.6,293193.6,296356.8
Compress,24,4,normal,101355662.4,106364873.6,302976.0,302816.0
Compress,24,5,normal,94717459.2,35276177.6,274662.4,296084.8
Compress,24,1,time,84612096.0,92380457.6,299462.4,286443.2
Compress,24,2,time,122856324.8,83386081.6,282638.4,296270.4
Compress,24,3,time,108930292.8,82515126.4,281064.0,302635.2
Compress,24,4,time,77855318.4,71946459.2,296392.0,296331.2
Compress,24,5,time,0.0,0.0,0.0,0.0
Compress,24,1,mem,70194115.2,103747424.0,302777.6,292982.4
Compress,24,2,mem,91608187.2,99615395.2,283305.6,289654.4
Compress,24,3,mem,77626785.6,95412459.2,280492.8,295713.6
Compress,24,4,mem,81862753.6,80773187.2,279284.8,302224.0
Compress,24,5,mem,78678760.0,94386552.0,301566.4,295715.2
Compress,25,1,normal,78054886.4,68031513.6,93225.6,74262.4
Compress,25,2,normal,80367305.6,95566739.2,425497.6,101924.8
Compress,25,3,normal,124825675.2,109262339.2,91836.8,99972.8
Compress,25,4,normal,69946155.2,93602716.8,75976.0,101643.2
Compress,25,5,normal,55228276.8,34517780.8,100550.4,105248.0
Compress,25,1,time,69078691.2,66433708.8,104044.8,747526.4
Compress,25,2,time,70090428.8,93539272.0,95755.2,433052.8
Compress,25,3,time,62783124.8,118410611.2,94990.4,432078.4
Compress,25,4,time,82802864.0,78910201.6,88166.4,117003.2
Compress,25,5,time,70169064.0,54577580.8,97409.6,98880.0
Compress,25,1,mem,95910230.4,93422236.8,78267.2,81196.8
Compress,25,2,mem,61828217.6,94718233.6,122345.6,95920.0
Compress,25,3,mem,51183299.2,61254576.0,103220.8,100374.4
Compress,25,4,mem,0.0,0.0,0.0,0.0
Compress,25,5,mem,65067934.4,65350790.4,115947.2,114988.8
Compress,26,1,normal,178733710.4,170637892.8,76352.0,72979.2
Compress,26,2,normal,154758211.2,147982307.2,101680.0,73206.4
Compress,26,3,normal,159525544.0,215763582.4,72803.2,75500.8
Compress,26,4,normal,0.0,0.0,0.0,0.0
Compress,26,5,normal,144706033.6,237279264.0,69088.0,65998.4
Compress,26,1,time,0.0,0.0,0.0,0.0
Compress,26,2,time,278750580.8,228000883.2,83856.0,69459.2
Compress,26,3,time,182080660.8,183640614.4,67496.0,72699.2
Compress,26,4,time,146714550.4,116892552.0,67780.8,76164.8
Compress,26,5,time,252197752.0,140495387.2,70812.8,76112.0
